Question	Answer
In the domain of natural language processing, I want to learn about stack lstm, what concepts should I learn first?	machine learning resources;random walks and harmonic functions;calculus;training neural networks;semi-supervised learning;optimization;Unsupervised learning;loss function;deep learning introduction;neural networks;linear algebra
In the domain of natural language processing, I want to learn about semantic similarity, what concepts should I learn first?	structured learning;probabilities;vector semantics;linguistics basics;vector representations;natural language processing intro;word distributions;linear algebra;n-gram models
In the domain of natural language processing, I want to learn about problem solving and search, what concepts should I learn first?	planning;search;probabilities
In the domain of natural language processing, I want to learn about information extraction, what concepts should I learn first?	structured learning;probabilities;sentence representations;information retrieval;linguistics basics;vector representations;toolkits for information retrieval;natural language processing intro;word distributions;text similarity;linear algebra;n-gram models
In the domain of natural language processing, I want to learn about agent-based view of ai, what concepts should I learn first?	machine learning resources;random walks and harmonic functions;logic and logical agents;planning;calculus;search;optimization;Unsupervised learning;loss function;reinforcement learning;linear algebra
In the domain of natural language processing, I want to learn about dialog systems, what concepts should I learn first?	linguistics basics;natural language processing intro
In the domain of natural language processing, I want to learn about Variations of GANs, what concepts should I learn first?	machine learning resources;generative adversarial networks;calculus;optimization;generative and discriminative models;loss function;backpropagation;linear algebra
In the domain of natural language processing, I want to learn about context sensitive grammar, what concepts should I learn first?	chomsky hierarchy;context free grammar;linguistics basics;natural language processing intro;tree adjoining grammar
In the domain of natural language processing, I want to learn about regular expressions, what concepts should I learn first?	natural language processing intro
In the domain of natural language processing, I want to learn about classification, what concepts should I learn first?	probabilities;machine learning resources;calculus;optimization;loss function;linear algebra
In the domain of natural language processing, I want to learn about edit distance, what concepts should I learn first?	linguistics basics;natural language processing intro
In the domain of natural language processing, I want to learn about chinese nlp, what concepts should I learn first?	natural language processing intro
In the domain of natural language processing, I want to learn about Dirichlet Processes, what concepts should I learn first?	probabilities
In the domain of natural language processing, I want to learn about newton method, what concepts should I learn first?	calculus;optimization
In the domain of natural language processing, I want to learn about gated recurrent units, what concepts should I learn first?	recurrent neural networks
In the domain of natural language processing, I want to learn about parsing, what concepts should I learn first?	natural language processing intro
In the domain of natural language processing, I want to learn about Autoencoders, what concepts should I learn first?	machine learning resources;random walks and harmonic functions;calculus;semi-supervised learning;optimization;Unsupervised learning;loss function;maximum likelihood estimation;backpropagation;neural networks;linear algebra
In the domain of natural language processing, I want to learn about informed search, what concepts should I learn first?	search
In the domain of natural language processing, I want to learn about neural summarization, what concepts should I learn first?	structured learning;probabilities;sentence representations;seq2seq;vector representations;natural language processing intro;linear algebra;text summarization;word distributions;beam search;n-gram models
In the domain of natural language processing, I want to learn about lexical semantics, what concepts should I learn first?	wordnet
In the domain of natural language processing, I want to learn about computation theory, what concepts should I learn first?	linguistics basics;natural language processing intro;chomsky hierarchy
In the domain of natural language processing, I want to learn about shallow parsing, what concepts should I learn first?	linguistics basics;natural language processing intro;parsing
In the domain of natural language processing, I want to learn about memory networks, what concepts should I learn first?	machine learning resources;random walks and harmonic functions;calculus;semi-supervised learning;optimization;Unsupervised learning;loss function;long short term memory networks;neural networks;linear algebra
In the domain of natural language processing, I want to learn about kernel function, what concepts should I learn first?	machine learning resources;calculus;optimization;loss function;linear algebra
