Question	Answer	Number
In the domain of natural language processing, I know about natural language processing intro, now I want to learn about topic modeling, what concept path should I follow?	vector representations;structured learning;word distributions	3
In the domain of natural language processing, I know about loss function, now I want to learn about robotic locomotion, what concept path should I follow?	machine learning resources;Unsupervised learning;reinforcement learning;robotics	4
In the domain of natural language processing, I know about linear algebra, now I want to learn about citation networks, what concept path should I follow?	structured learning;sentence representations;information extraction;social network extraction	4
In the domain of natural language processing, I know about probabilities, now I want to learn about language identification, what concept path should I follow?	structured learning;vector representations;evaluation of text classification	3
In the domain of natural language processing, I know about n-gram models, now I want to learn about scientific article summarization, what concept path should I follow?	word distributions;vector representations;structured learning;sentence representations;text summarization;neural summarization	6
In the domain of natural language processing, I know about word distributions, now I want to learn about sentence simplification, what concept path should I follow?	vector representations;structured learning;sentence representations	3
In the domain of natural language processing, I know about sentence representations, now I want to learn about citation networks, what concept path should I follow?	information extraction;social network extraction	2
In the domain of natural language processing, I know about n-gram models, now I want to learn about citation networks, what concept path should I follow?	word distributions;vector representations;structured learning;sentence representations;information extraction;social network extraction	6
In the domain of natural language processing, I know about n-gram models, now I want to learn about neural machine translation, what concept path should I follow?	word distributions;vector representations;structured learning;sentence representations	4
In the domain of natural language processing, I know about word distributions, now I want to learn about scientific article summarization, what concept path should I follow?	vector representations;structured learning;sentence representations;text summarization;neural summarization	5
In the domain of natural language processing, I know about search, now I want to learn about robotic locomotion, what concept path should I follow?	uncertainty;robotics	2
In the domain of natural language processing, I know about machine learning resources, now I want to learn about robotic locomotion, what concept path should I follow?	Unsupervised learning;reinforcement learning;robotics	3
In the domain of natural language processing, I know about probabilities, now I want to learn about scientific article summarization, what concept path should I follow?	structured learning;sentence representations;text summarization;neural summarization	4
In the domain of natural language processing, I know about word distributions, now I want to learn about summarization evaluation, what concept path should I follow?	vector representations;structured learning;sentence representations;text summarization	4
In the domain of natural language processing, I know about structured learning, now I want to learn about citation networks, what concept path should I follow?	sentence representations;information extraction;social network extraction	3
In the domain of natural language processing, I know about n-gram models, now I want to learn about social media analysis, what concept path should I follow?	word distributions;vector representations;evaluation of text classification;sentiment analysis	4
In the domain of natural language processing, I know about loss function, now I want to learn about neural question answering, what concept path should I follow?	machine learning resources;neural networks	2
In the domain of natural language processing, I know about calculus, now I want to learn about agent-based view of ai, what concept path should I follow?	machine learning resources;Unsupervised learning;reinforcement learning	3
In the domain of natural language processing, I know about n-gram models, now I want to learn about social network extraction, what concept path should I follow?	word distributions;vector representations;structured learning;sentence representations;information extraction	5
In the domain of natural language processing, I know about n-gram models, now I want to learn about relation extraction, what concept path should I follow?	word distributions;vector representations;evaluation of text classification	3
In the domain of natural language processing, I know about text similarity, now I want to learn about citation networks, what concept path should I follow?	information extraction;social network extraction	2
In the domain of natural language processing, I know about vector representations, now I want to learn about summarization evaluation, what concept path should I follow?	structured learning;sentence representations;text summarization	3
In the domain of natural language processing, I know about vector representations, now I want to learn about scientific article summarization, what concept path should I follow?	structured learning;sentence representations;text summarization;neural summarization	4
In the domain of natural language processing, I know about natural language processing intro, now I want to learn about scientific article summarization, what concept path should I follow?	vector representations;structured learning;sentence representations;text summarization;neural summarization	5
In the domain of natural language processing, I know about loss function, now I want to learn about robotics, what concept path should I follow?	machine learning resources;Unsupervised learning;reinforcement learning	3
In the domain of natural language processing, I know about structured learning, now I want to learn about text generation, what concept path should I follow?	word distributions;language modeling;evaluation of language modeling	3
In the domain of natural language processing, I know about vector representations, now I want to learn about neural machine translation, what concept path should I follow?	structured learning;sentence representations	2
In the domain of natural language processing, I know about linguistics basics, now I want to learn about citation networks, what concept path should I follow?	information extraction;social network extraction	2
In the domain of natural language processing, I know about n-gram models, now I want to learn about vector semantics, what concept path should I follow?	word distributions;vector representations;structured learning	3
In the domain of natural language processing, I know about natural language processing intro, now I want to learn about text summarization, what concept path should I follow?	vector representations;structured learning;sentence representations	3
In the domain of natural language processing, I know about information retrieval, now I want to learn about citation networks, what concept path should I follow?	toolkits for information retrieval;information extraction;social network extraction	3
In the domain of natural language processing, I know about linear algebra, now I want to learn about pointer networks, what concept path should I follow?	machine learning resources;neural networks;training neural networks	3
